review_id,date,rating,review_text,source
1,2026-01-05,2,"Exit load charges are not explained anywhere in the app before redemption. I was surprised by a deduction I did not expect.",app_store
2,2026-01-06,1,"Login OTP is not coming on my registered number. Tried 5 times. Support is not responding.",google_play
3,2026-01-07,3,"SIP deduction happened but units not reflecting. Worried about my money.",app_store
4,2026-01-08,2,"The expense ratio for SBI Large Cap Fund Direct is not shown clearly. I had to check AMFI separately.",google_play
5,2026-01-09,1,"Why is there no clear breakdown of expense ratio? I want to see all charges upfront before investing.",app_store
6,2026-01-10,4,"Good app overall but fee structure is not transparent. Exit load and expense ratio should be on the fund page.",google_play
7,2026-01-11,2,"My SIP failed this month even though my bank account had sufficient balance. No notification received.",app_store
8,2026-01-12,1,"I redeemed SBI ELSS thinking the 3-year lock-in was done but an exit load was still charged. No warning shown.",google_play
9,2026-01-13,3,"Exit load deducted on partial redemption. The percentage was not displayed before I confirmed the transaction.",app_store
10,2026-01-14,2,"Expense ratio for regular vs direct plan difference is not visible. Misleading for new investors.",google_play
11,2026-01-15,1,"The total cost of holding a fund — TER, exit load, transaction fees — should be one clear number. It is not.",app_store
12,2026-01-16,4,"App works well but the fee structure is opaque. I want to see all charges shown upfront on the investment page.",google_play
13,2026-01-17,2,"SIP mandate not activating even after 10 days of bank registration. No status update in app.",app_store
14,2026-01-18,3,"Password reset not working. Stuck in a loop. Had to call support.",google_play
15,2026-01-19,2,"Nominee update screen shows a blank page after submitting documents. Very frustrating.",app_store
16,2026-01-20,1,"Capital gains statement download fails every time. Need it for tax filing urgently.",google_play
17,2026-01-21,3,"Exit load for SBI Small Cap Fund should be shown before confirming redemption, not after.",app_store
18,2026-01-22,2,"The expense ratio changed last quarter but there was no notification. I found out only on the AMFI site.",google_play
19,2026-01-23,4,"Would give 5 stars if the fee components — exit load, expense ratio, stamp duty — were shown in one place.",app_store
20,2026-01-24,2,"Login keeps timing out. Very bad experience on Android 14.",google_play
21,2026-01-25,1,"OTP not received on email as backup either. Phone also not working. Locked out for two days.",app_store
22,2026-01-26,3,"Statement download works but the format is confusing for tax purposes.",google_play
23,2026-01-27,2,"SIP missed 3 months in a row due to mandate issues.",app_store
24,2026-01-28,4,"Fee transparency could be much better. Expense ratio and exit load should be on the fund summary card.",google_play
25,2026-01-29,1,"Nominee update submitted 4 times and keeps getting rejected without a reason given.",app_store
